date,penalty,soil,threadhold
2022-01-24,0,52.3,35
2022-01-24,0,56.2,35
2022-01-24,0,48.5,35
2022-01-24,0,46.2,35
2022-01-24,0,46.0,35
2022-01-24,0,48.0,35
2022-01-24,0,42.4,35
2022-01-24,0,35.7,35
2022-01-24,-1,28.6,35
2022-01-24,-3,18.0,35
2022-01-24,-3,14.2,35
2022-01-24,-3,9.1,35
2022-01-24,-3,4.9,35
2022-01-24,-3,0.5,35
2022-01-24,-3,0.0,35
2022-01-24,0,54.7,35
2022-01-24,0,56.4,35
2022-01-24,-1,56.5,65
2022-01-24,0,66.3,50
2022-01-24,0,72.5,50
2022-01-24,0,70.8,50
2022-01-24,0,72.3,50
2022-01-24,0,69.9,50
2022-01-24,0,70.3,50
2022-01-24,0,72.3,50
2022-01-24,0,72.7,50
2022-01-24,0,63.1,50
2022-01-24,0,51.8,50
2022-01-24,-1,40.9,50
2022-01-24,-3,30.8,50
2022-01-24,-3,23.4,50
2022-01-24,0,51.3,50
2022-01-24,0,53.9,50
2022-01-24,0,53.6,50
2022-01-24,0,55.0,50
2022-01-24,0,53.3,50
2022-01-24,0,58.5,50
2022-01-24,0,50.1,50
2022-01-24,-1,42.5,50
2022-01-24,-2,35.2,50
2022-01-24,-3,28.2,50
2022-01-24,-3,20.5,50
2022-01-24,-3,24.4,50
2022-01-24,-3,24.7,50
2022-01-24,-3,27.0,50
2022-01-24,-3,25.9,50
2022-01-24,-3,27.9,50
2022-01-24,-3,31.1,50
2022-01-24,-3,34.1,50
2022-01-24,-2,35.2,50
2022-01-24,-3,34.4,50
2022-01-24,-2,35.1,50
2022-01-24,-3,31.2,50
2022-01-24,-3,32.8,50
2022-01-24,-2,37.4,50
2022-01-24,-2,35.2,50
2022-01-24,-2,39.8,50
2022-01-24,-2,36.9,50
2022-01-24,-2,39.4,50
2022-01-24,-2,37.8,50
2022-01-24,-1,41.9,50
2022-01-24,-1,43.1,50
2022-01-24,-1,46.3,50
2022-01-24,-1,48.5,50
2022-01-24,-1,47.8,50
2022-01-24,-1,49.2,50
2022-01-24,-1,49.5,50
2022-01-24,0,50.7,50
2022-01-24,-1,48.0,50
2022-01-24,-1,49.1,50
2022-01-24,-1,46.8,50
2022-01-24,0,56.5,50
2022-01-24,0,57.6,50
2022-01-24,0,59.8,50
2022-01-24,0,60.3,50
2022-01-24,0,61.1,50
2022-01-24,-1,44.2,50
2022-01-24,-3,29.2,50
2022-01-24,-3,17.9,50
2022-01-24,-3,12.5,50
2022-01-24,-3,18.4,50
2022-01-24,-3,18.7,50
2022-01-24,-3,14.5,50
2022-01-24,-3,20.8,50
2022-01-24,-3,19.1,50
2022-01-24,-3,16.3,50
2022-01-24,-3,22.1,50
2022-01-24,-3,24.2,50
2022-01-24,-3,28.3,50
2022-01-24,-3,26.9,50
2022-01-24,-3,26.0,50
2022-01-24,-3,34.8,50
2022-01-24,-3,34.9,50
2022-01-24,-1,42.7,50
2022-01-24,-1,48.9,50
2022-01-24,-1,47.7,50
2022-01-24,0,52.7,50
2022-01-24,0,53.3,50
2022-01-24,0,51.7,50
2022-01-24,0,50.2,50
2022-01-24,-1,46.9,50
2022-01-24,-1,47.0,50
2022-01-24,-1,45.3,50
2022-01-24,-1,45.8,50
2022-01-24,-1,47.4,50
2022-01-24,-1,43.6,50
2022-01-24,-1,49.7,50
2022-01-24,0,53.2,50
2022-01-24,0,57.3,50
2022-01-24,0,56.9,50
2022-01-24,0,57.5,50
2022-01-24,0,58.1,50
2022-01-24,0,53.2,50
2022-01-24,0,52.5,50
2022-01-24,-1,42.0,50
2022-01-24,-2,35.7,50
2022-01-24,-3,24.4,50
2022-01-24,-3,29.1,50
2022-01-24,-3,31.4,50
2022-01-24,-3,33.8,50
2022-01-24,-2,36.7,50
2022-01-24,-1,43.3,50
2022-01-24,-1,47.4,50
2022-01-24,0,53.5,50
2022-01-24,0,55.4,50
2022-01-24,0,56.8,50
2022-01-24,0,56.4,50
2022-01-24,0,51.2,50
2022-01-24,-2,36.2,50
2022-01-24,-3,23.3,50
2022-01-24,-3,16.3,50
2022-01-24,-3,12.0,50
2022-01-24,-3,16.3,50
2022-01-24,-3,19.1,50
2022-01-24,-3,18.3,50
2022-01-24,-3,23.0,50
2022-01-24,-3,23.1,50
2022-01-24,-3,18.9,50
2022-01-24,-3,27.2,50
2022-01-24,-3,25.9,50
2022-01-24,-3,23.9,50
2022-01-24,-3,30.1,50
2022-01-24,-3,27.7,50
2022-01-24,-3,30.3,50
