date,penalty,soil,threadhold
2022-01-24,0,54.0,35
2022-01-24,0,56.5,35
2022-01-24,0,48.3,35
2022-01-24,0,49.6,35
2022-01-24,0,48.4,35
2022-01-24,0,49.9,35
2022-01-24,0,46.0,35
2022-01-24,0,41.3,35
2022-01-24,-1,29.1,35
2022-01-24,-3,19.3,35
2022-01-24,-3,14.3,35
2022-01-24,-3,9.9,35
2022-01-24,-3,6.1,35
2022-01-24,-3,0.8,35
2022-01-24,-3,0.0,35
2022-01-24,0,57.2,35
2022-01-24,0,59.7,35
2022-01-24,0,69.4,65
2022-01-24,0,75.2,50
2022-01-24,0,82.7,50
2022-01-24,0,84.9,50
2022-01-24,0,84.0,50
2022-01-24,0,87.4,50
2022-01-24,0,82.9,50
2022-01-24,0,81.7,50
2022-01-24,0,81.8,50
2022-01-24,0,82.7,50
2022-01-24,0,78.7,50
2022-01-24,0,69.5,50
2022-01-24,0,60.1,50
2022-01-24,0,57.3,50
2022-01-24,0,51.8,50
2022-01-24,0,54.5,50
2022-01-24,0,58.0,50
2022-01-24,0,56.7,50
2022-01-24,0,61.7,50
2022-01-24,0,51.6,50
2022-01-24,-1,45.7,50
2022-01-24,-2,36.1,50
2022-01-24,-3,18.3,50
2022-01-24,-3,12.9,50
2022-01-24,-3,8.0,50
2022-01-24,-3,10.7,50
2022-01-24,-3,6.6,50
2022-01-24,-3,2.4,50
2022-01-24,-3,0.0,50
2022-01-24,-3,0.0,50
2022-01-24,-3,1.0,50
2022-01-24,-3,9.8,50
2022-01-24,-3,10.5,50
2022-01-24,-3,6.0,50
2022-01-24,-3,1.6,50
2022-01-24,-3,0.4,50
2022-01-24,-3,4.2,50
2022-01-24,-3,4.4,50
2022-01-24,-3,7.1,50
2022-01-24,-3,13.8,50
2022-01-24,-3,12.5,50
2022-01-24,-3,8.3,50
2022-01-24,-3,3.7,50
2022-01-24,-3,6.0,50
2022-01-24,-3,10.3,50
2022-01-24,-3,8.7,50
2022-01-24,-3,16.9,50
2022-01-24,-3,18.6,50
2022-01-24,-3,20.8,50
2022-01-24,-3,25.6,50
2022-01-24,-3,24.2,50
2022-01-24,-3,32.3,50
2022-01-24,-2,35.2,50
2022-01-24,-1,40.3,50
2022-01-24,-1,47.9,50
2022-01-24,-1,48.3,50
2022-01-24,0,59.2,50
2022-01-24,0,60.9,50
2022-01-24,0,66.2,50
2022-01-24,0,69.6,50
2022-01-24,0,68.0,50
2022-01-24,0,64.6,50
2022-01-24,0,67.6,50
2022-01-24,0,64.1,50
2022-01-24,0,67.2,50
2022-01-24,0,56.5,50
2022-01-24,0,50.5,50
2022-01-24,-3,32.3,50
2022-01-24,-3,22.2,50
2022-01-24,-3,15.7,50
2022-01-24,-3,24.1,50
2022-01-24,-3,27.6,50
2022-01-24,-3,24.8,50
2022-01-24,-3,32.7,50
2022-01-24,-3,32.9,50
2022-01-24,-2,39.9,50
2022-01-24,-2,38.1,50
2022-01-24,-2,37.6,50
2022-01-24,-1,46.7,50
2022-01-24,-1,46.3,50
2022-01-24,-1,47.9,50
2022-01-24,0,56.1,50
2022-01-24,0,52.5,50
2022-01-24,0,55.2,50
2022-01-24,0,59.3,50
2022-01-24,0,57.9,50
2022-01-24,0,56.8,50
2022-01-24,0,51.0,50
2022-01-24,-1,40.7,50
2022-01-24,-3,24.2,50
2022-01-24,-3,22.7,50
2022-01-24,-3,29.7,50
2022-01-24,-3,28.7,50
2022-01-24,-3,34.4,50
2022-01-24,-2,39.9,50
2022-01-24,-1,42.9,50
2022-01-24,-1,49.6,50
2022-01-24,0,51.3,50
2022-01-24,0,56.1,50
2022-01-24,0,55.4,50
2022-01-24,0,58.0,50
2022-01-24,0,59.0,50
2022-01-24,0,56.8,50
2022-01-24,0,55.5,50
2022-01-24,0,59.0,50
2022-01-24,0,50.5,50
2022-01-24,-1,45.9,50
2022-01-24,-3,33.2,50
2022-01-24,-3,31.3,50
2022-01-24,-3,30.7,50
2022-01-24,-3,34.9,50
2022-01-24,-2,37.6,50
2022-01-24,-1,43.1,50
2022-01-24,-1,46.8,50
2022-01-24,-1,45.7,50
2022-01-24,0,52.8,50
2022-01-24,0,52.0,50
2022-01-24,-1,48.8,50
2022-01-24,-1,49.1,50
2022-01-24,-1,41.7,50
2022-01-24,-1,40.9,50
2022-01-24,-1,47.8,50
2022-01-24,-1,46.7,50
2022-01-24,-1,42.0,50
2022-01-24,-1,45.3,50
2022-01-24,-1,44.9,50
2022-01-24,-1,45.1,50
